kind,episode,steps,score,total_reward,epsilon,q_states,kills,rooms,floors,done,wall_seconds
train,156,78,4.104167,-6.563667,0.1828,91,3,0,0,True,13.8
train,157,49,1.7725,-8.898667,0.1808,91,1,0,0,True,10.35
train,158,100,1.159167,2.103,0.1788,91,0,0,0,False,18.41
train,159,100,14.338333,15.491504,0.1769,91,3,1,0,False,16.25
train,160,100,3.4475,2.779667,0.1749,91,2,0,0,False,16.3
train,161,35,0.501667,-10.166167,0.173,91,0,0,0,True,6.06
train,162,100,4.329167,-3.471333,0.1711,91,3,0,0,False,16.23
train,163,100,3.388333,-3.2795,0.1693,91,2,0,0,False,16.32
train,164,100,15.618333,12.481235,0.1674,91,4,1,0,False,17.65
train,165,100,1.583333,3.777833,0.1656,91,0,0,0,False,16.56
train,166,100,14.705,11.256964,0.1638,92,3,1,0,False,18.83
train,167,100,1.604167,-3.063667,0.162,92,0,0,0,False,17.63
train,168,63,0.878333,-9.7895,0.1602,92,0,0,0,True,10.51
train,169,94,1.626667,-8.177167,0.1585,92,0,0,0,True,18.3
train,170,92,3.534167,-6.269667,0.1568,92,2,0,0,True,18.04
train,171,100,4.4875,-3.316333,0.1551,93,3,0,0,False,18.07
train,172,100,3.515,-3.151167,0.1534,93,2,0,0,False,17.25
train,173,100,3.4575,1.653667,0.1517,93,2,0,0,False,16.58
train,174,100,2.545833,-0.118667,0.15,93,1,0,0,False,17.35
train,175,69,2.918333,-7.747833,0.1484,93,2,0,0,True,11.56
eval,175,100,3.390833,-8.645,0.1468,93,2,0,0,True,16.38
eval,175,75,2.99,-9.0425,0.1468,93,2,0,0,True,12.7
eval,175,100,1.593333,1.5575,0.1468,93,0,0,0,False,16.6
train,176,100,3.706667,-6.9645,0.1468,93,2,0,0,True,19.37
train,177,92,4.508333,-6.1595,0.1452,93,3,0,0,True,17.87
train,178,58,1.9075,-7.896333,0.1436,93,1,0,0,True,11.16
train,179,77,3.299167,-7.370333,0.142,93,2,0,0,True,15.46
train,180,100,15.693333,6.706541,0.1405,93,4,1,0,False,19.16
